a,b,c,d,alpha,IS_HEALTHY,BRAF v600,KRAS c122,KRAS c146,KRAS c61,NRAS c61,NRAS ex2
-1873.3770384521017,4148.505248802356,5.106606239402378,-84.81893547737967,0.2153430603956804,0.0,0,0,0,0,0,1
-1525.996087301023,3780.777441166459,5.1817906269643945,-84.80663424505174,0.2245764181813537,0.0,0,0,0,0,0,1
-1785.6104188472855,4056.510912889765,5.153118562728427,-84.80736553746344,0.2006390638447619,0.0,0,0,0,0,0,1
-1561.6129594673182,3853.388654179222,5.4315295129075825,-84.89080495396212,0.17417783619012314,0.0,0,0,0,0,0,1
-1823.4108263509797,4139.171174751671,5.2639860005647225,-84.78618803819722,0.19662564717483183,0.0,0,0,0,0,0,1
-1702.023583636094,3959.3176928478983,5.280282970527878,-84.77627364085441,0.2024243252099157,0.0,0,0,0,0,0,1
-1846.994676581551,4164.853731676655,5.259142500624336,-84.78867001440277,0.2058130224616571,0.0,0,0,0,0,0,1
-1498.4672908181346,3940.5644713851007,5.101872961129881,-84.76562597965442,0.19522862742071734,0.0,0,0,0,0,0,1
-1933.3518093543553,4340.369433023761,5.318004904531469,-84.8670097093927,0.18432836732917104,0.0,0,0,0,0,0,1
-1748.9638041856124,4072.4997891575435,5.199009329237507,-84.80474449618293,0.2117807198342543,0.0,0,0,0,0,0,1
-1968.6172719730757,4350.597541944302,5.325590434635039,-84.76015793749171,0.22733492595096064,0.0,0,0,0,0,0,1
-1812.3365454026857,4167.348909852749,5.375552020336391,-84.79518600687165,0.19882670000132724,0.0,0,0,0,0,0,1
-1908.363477750673,4249.628031846244,5.175165125650608,-84.8173696256386,0.2242804478586101,0.0,0,0,0,0,0,1
-1571.4362858372854,3920.798869001873,5.274427729424233,-84.7724297861211,0.20653875968704838,0.0,0,0,0,0,0,1
-1812.703103149543,4073.5344620095334,5.388727236196549,-84.7690365997804,0.20495112615909422,0.0,0,0,0,0,0,1
-1555.1301937793019,3852.1661103096953,5.3504197429936875,-84.77806361287762,0.20062688350125166,0.0,0,0,0,0,0,1
-1851.3947889327596,4130.89547106369,5.283859987641017,-84.74874174255858,0.20497036215870915,0.0,0,0,0,0,0,1
-1745.9050157403535,4112.531333525897,5.1225402081103955,-84.720479549626,0.20684341253899438,0.0,0,0,0,0,0,1
-1697.5629687314186,4277.769752840068,5.265915436382036,-84.69924192516775,0.22593874305156372,0.0,0,0,0,0,0,1
-1916.8457773732903,4171.823022919703,5.066234262785396,-84.75114150875459,0.24305780316307882,0.0,0,0,0,0,0,1
-1745.4217620211264,4117.488635058707,5.170393686233543,-84.67568134055402,0.22237289267605104,0.0,0,0,0,0,0,1
-1896.1325735822743,4202.394520017367,5.026523612280749,-84.69142876472215,0.2280573505757421,0.0,0,0,0,0,0,1
-1690.212612118488,3961.767665839175,5.242677441591777,-84.79699231369896,0.21849350172008386,0.0,0,0,0,0,0,1
-1694.2351825590483,4114.545416999439,5.109197872294706,-84.45865418389641,0.24423988385450315,0.0,0,0,0,0,0,1
-1682.717809143334,4077.6686950244075,5.381322910144694,-84.67743578998133,0.21658082896355335,0.0,0,0,0,0,0,1
-1645.2512770981602,3952.7620710698557,5.128651100267769,-84.7017003518838,0.2333499535985504,0.0,0,0,0,0,0,1
-1741.2516989428477,4016.9973231488734,5.109533877378819,-84.66902341142621,0.23522939558119216,0.0,0,0,0,0,0,1
-2247.1866704170075,4675.537249088097,3.6716292387482836,-83.1795194950628,0.26525519526305885,0.0,0,0,0,0,1,0
-1995.042593217621,4534.4613843013385,3.0503740797066583,-83.03608671087798,0.31562062692349424,0.0,0,0,0,0,1,0
-2148.704118991078,4474.423756361662,3.6590290319484393,-83.12176488234358,0.2588714241576027,0.0,0,0,0,0,1,0
-1882.8550306198244,4688.439206924138,2.5919881468945567,-82.96580760499607,0.3585795034705223,0.0,0,0,0,0,1,0
-2213.311454135694,5066.336501573979,2.370445905251909,-82.89126234858685,0.4011019485168719,0.0,0,0,0,0,1,0
-1922.3449782475673,4694.438400046391,2.6577362031839273,-82.90458512888203,0.3531113358795599,0.0,0,0,0,0,1,0
-2387.4613787488424,4627.129309866259,3.8298837999642337,-83.12860487417308,0.2630055243441797,0.0,0,0,0,0,1,0
-1723.6102131623015,3987.971388076566,3.754636468221884,-83.24810648856368,0.2704050681032133,1.0,0,0,0,0,1,0
-1885.9539621398317,4410.223059577808,3.216911861355262,-83.13241572373387,0.305104162451042,1.0,0,0,0,0,1,0
-1726.878110798089,4383.63658951234,2.7750259613656643,-83.02919192319693,0.3459365197804385,0.0,0,0,0,0,1,0
-1722.8456935932013,4422.192536135085,2.708855597638347,-82.98136221320411,0.3635983127111368,0.0,0,0,0,0,1,0
-1836.9660590945339,4625.001077672586,2.5282900618080055,-83.01767492119568,0.3798758942614615,0.0,0,0,0,0,1,0
